"Distance [mm]"	"Mag_B [tesla]"
0	0.0915898595064068
0.0450004	0.0919162479273907
0.0900008	0.0922435724579023
0.1350012	0.092571833277247
0.1800016	0.0929010305667407
0.225002	0.0932311645097096
0.2700024	0.0935622352914897
0.3150028	0.0938942430994272
0.3600032	0.0942271881228783
0.4050036	0.0945610705532093
0.450004	0.0948958905837967
0.4950044	0.095231648410027
0.5400048	0.0955683442292969
0.5850052	0.0959035464156967
0.6300056	0.0962375135854778
0.675006	0.09657109264875
0.7200064	0.096904272941733
0.7650068	0.0972370438611751
0.8100072	0.0975693948643526
0.8550076	0.0979013154690702
0.900008	0.0982327952536605
0.9450084	0.0985638238569846
0.9900088	0.098894390978432
1.0350092	0.0992244863779203
1.0800096	0.0995540998758952
1.12501	0.0998832213533306
1.1700104	0.100211840751729
1.2150108	0.100539948073122
1.2600112	0.100867533380067
1.3050116	0.101194586795651
1.350012	0.10152109850349
1.3950124	0.101847058747727
1.4400128	0.102172457833035
1.4850132	0.102497286124613
1.5300136	0.10282153404819
1.575014	0.103145192090022
1.6200144	0.103468250796893
1.6650148	0.103826974770716
1.7100152	0.104195169027482
1.7550156	0.104569225397206
1.800016	0.104949137997358
1.8450164	0.105334900974958
1.8900168	0.105726508506574
1.9350172	0.106123954798323
1.9800176	0.10652723408587
2.025018	0.106936340634428
2.0700184	0.10735126873876
2.1150188	0.107772012723175
2.1600192	0.108198566941533
2.2050196	0.108630925777241
2.25002	0.109069083643256
2.2950204	0.109513034982081
2.3400208	0.109962774265769
2.3850212	0.110418295995922
2.4300216	0.110879594703689
2.475022	0.111346664949769
2.5200224	0.111819501324409
2.5650228	0.112298098447403
2.6100232	0.112782450968095
2.6550236	0.113272553565377
2.700024	0.113768400947691
2.7450244	0.114269987853025
2.7900248	0.114777309048916
2.8350252	0.115290359332451
2.8800256	0.115809133530264
2.925026	0.116333626498539
2.9700264	0.116863833123005
3.0150268	0.117399748318945
3.0600272	0.117941367031185
3.1050276	0.118488684234103
3.150028	0.119041694931624
3.1950284	0.119600394157222
3.2400288	0.120164776973919
3.2850292	0.120734838474286
3.3300296	0.121310573780442
3.37503	0.121891978044055
3.4200304	0.122479046446341
3.4650308	0.123071774198064
3.5100312	0.123670156539539
3.5550316	0.124274188740625
3.600032	0.124883866100733
3.6450324	0.125499183948823
3.6900328	0.1261201376434
3.7350332	0.12674672257252
3.7800336	0.127378934153788
3.825034	0.128016767834356
3.8700344	0.128660219090924
3.9150348	0.129309283429741
3.9600352	0.129963956386607
4.0050356	0.130624233526866
4.050036	0.131290110445414
4.0950364	0.131961582766694
4.1400368	0.132638646144698
4.1850372	0.133321296262965
4.2300376	0.134009528834585
4.275038	0.134703339602195
4.3200384	0.13540272433798
4.3650388	0.136107678843673
4.4100392	0.136818198950559
4.4550396	0.137534280519468
4.50004	0.138255919440779
4.5450404	0.13898311163442
4.5900408	0.139715853049868
4.6350412	0.140454139666147
4.6800416	0.141197967491832
4.725042	0.141947332565043
4.7700424	0.142702230953452
4.8150428	0.143462658754276
4.8600432	0.144228612094283
4.9050436	0.145000087129789
4.950044	0.145777080046658
4.9950444	0.146559587060304
5.0400448	0.147347604415685
5.0850452	0.148141128387314
5.1300456	0.148940155279246
5.175046	0.14974468142509
5.2200464	0.150554703188001
5.2650468	0.15137021696068
5.3100472	0.152191219165382
5.3550476	0.153017706253905
5.400048	0.1538496747076
5.4450484	0.154687121037363
5.4900488	0.15553004178364
5.5350492	0.156378433516426
5.5800496	0.157232292835263
5.62505	0.159407865355174
5.6700504	0.161918376536265
5.7150508	0.164502693915355
5.7600512	0.167159988399368
5.8050516	0.169889445365474
5.850052	0.172690264661082
5.8950524	0.175561660603846
5.9400528	0.178502861981658
5.9850532	0.181513112052654
6.0300536	0.184591668545213
6.075054	0.187737803657952
6.1200544	0.190950804059734
6.1650548	0.194229970889662
6.2100552	0.197574619757079
6.2550556	0.200984080741573
6.300056	0.204457698392973
6.3450564	0.207994831731348
6.3900568	0.21159485424701
6.4350572	0.215257153900515
6.4800576	0.218981133122656
6.525058	0.222766208814471
6.5700584	0.226611812347242
6.6150588	0.230517389562487
6.6600592	0.234482400771971
6.7050596	0.238506320757698
6.75006	0.242588638771915
6.7950604	0.24672885853711
6.8400608	0.250926498246014
6.8850612	0.255181090561598
6.9300616	0.259492182617077
6.975062	0.263859336015906
7.0200624	0.268282126831784
7.0650628	0.272760145608649
7.1100632	0.277292997360683
7.1550636	0.281880301572309
7.200064	0.28652169219819
7.2450644	0.291216817663236
7.2900648	0.295965340862593
7.3350652	0.300766939161653
7.3800656	0.305621304396046
7.425066	0.310528142871648
7.4700664	0.315487175364574
7.5150668	0.320498137121182
7.5600672	0.325560777858071
7.6050676	0.330674861762083
7.650068	0.3358401674903
7.6950684	0.341056488170047
7.7400688	0.346323631398892
7.7850692	0.351641419244642
7.8300696	0.357009688245349
7.87507	0.362428289409304
7.9200704	0.367897088215041
7.9650708	0.373415964611337
8.0100712	0.378984813017209
8.0550716	0.384603542321915
8.100072	0.390272075884959
8.1450724	0.395990351536082
8.1900728	0.401758321575271
8.2350732	0.40757595277275
8.2800736	0.413443226368989
8.325074	0.419360138074699
8.3700744	0.425326698070833
8.4150748	0.431342931008583
8.4600752	0.437408876009386
8.5050756	0.443524586664918
8.550076	0.449690131037101
8.5950764	0.455905591658096
8.6400768	0.462171065530304
8.6850772	0.468486664126372
8.7300776	0.474852513389187
8.775078	0.481268753731876
8.8200784	0.487735540037811
8.8650788	0.494253041660602
8.9100792	0.500821442424106
